"Word","Frequency"
"abuse",171
"academic",69
"adhd_cd",376
"adjustment",168
"age",39
"alexithymia",40
"anxiety",455
"appraisal",90
"attachment",225
"autism",179
"autonomy",102
"bullying",195
"child-conflict",21
"cognitive",160
"communication",30
"culture",23
"delinquency",48
"depression",672
"device-use",124
"disabled",71
"dysregulation",1699
"eating_disorders",190
"emotion",195
"empathy",128
"endocrine",58
"environment",70
"externalizing",608
"family-functioning",105
"fathers",32
"foster",50
"friend",48
"genes",66
"health",216
"help-seeking",21
"historic-events",33
"identity",71
"internalizing",150
"life-events",34
"loneliness",35
"mental_health",876
"mindfulness",147
"minority_status",125
"mothers",121
"music",27
"negative_emotionality",182
"nervous-system",33
"neural",330
"obesity",59
"par.stress",28
"parenting",295
"parents",120
"peers",64
"personality",115
"polyvagal",96
"prosocial-behavior",31
"ptsd",189
"puberty",27
"reactivity",29
"resilience",107
"risk-factors",55
"risk-taking",47
"rumination",92
"school",66
"self-esteem",56
"self-harm",196
"self-regulation",158
"SES",69
"sex",186
"sexual-diversity",27
"sexual-risk",48
"shame",27
"siblings",23
"sleep",86
"social-support",54
"social skills",88
"sports",32
"strategies",279
"stress",203
"substance",283
"suicide",118
"suppression",40
"therapy",171
"violence",35
"wellbeing",189
